source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmdec,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_g_n_obs,phot_g_mean_flux_over_error,phot_rp_n_obs,phot_rp_mean_flux_over_error,phot_bp_n_obs,phot_bp_mean_flux_over_error,phot_rp_mean_mag,ph_qual,tmass_oid,j_m,h_m,ks_m,j_ks_0,J-H,astrometric_sigma5d_max,astrometric_excess_noise,visibility_periods_used,ruwe,astrometric_gof_al,ipd_gof_harmonic_amplitude,ipd_frac_odd_win,ipd_frac_multi_peak,matched_transits_removed,astrometric_params_solved,astrometric_excess_noise_sig,phot_variable_flag,skiff_type,ra_skiff,dec_skiff,GroupSize_skiff,Sep_skiff,numeric_sp,std_sp,skiff_type_list,j_m-h_m,j_m-ks_m,j_m-phot_g_mean_mag,j_m-phot_bp_mean_mag,j_m-phot_rp_mean_mag,h_m-ks_m,h_m-phot_g_mean_mag,h_m-phot_bp_mean_mag,h_m-phot_rp_mean_mag,ks_m-phot_g_mean_mag,ks_m-phot_bp_mean_mag,ks_m-phot_rp_mean_mag,phot_g_mean_mag-phot_bp_mean_mag,phot_g_mean_mag-phot_rp_mean_mag,phot_bp_mean_mag-phot_rp_mean_mag,bp_rp,B2,B2_cut_split,B2_cut_probability
4155111444172960128,278.6863519861994,-9.852094342097994,0.021553468,0.020297496,0.449029194983563,0.02474327,18.147528,0.3159562854538267,-1.0164160797776205,0.025998903,0.022394238,11.820438,12.644175,211,4022.1553,20,3431.9067,21,803.91626,10.9151,AAA,260759463,9.753,9.413,9.224,-0.1201094999999998,0.3399999999999998,0.03758681,0.15775606,15,1.3360763,6.535904,0.026473569,0,0,0,31,21.727064000000013,NOT_AVAILABLE,,,,,,,,,0.3399999999999998,0.5289999999999999,-2.067437999999999,-2.8911750000000005,-1.1621000000000006,0.189,-2.407437999999999,-3.2311750000000004,-1.5021000000000004,-2.596437999999999,-3.4201750000000004,-1.6911000000000005,-0.8237370000000014,0.9053379999999986,1.729075,1.729075,,,0.88
4201084950226763520,287.27382128990234,-9.84768054468457,0.020609306,0.018993052,1.2131761752089112,0.025122164,48.29107,-0.9397030750454652,-2.393287453553207,0.022808487,0.019582894,8.418679,8.511639,231,2506.7007,25,1355.2632,26,861.19507,8.2025385,AAA,260774755,7.982,7.999,8.002,-0.12416975,-0.0169999999999994,0.03201354,0.13931528,15,0.9586082,-0.8548294300000006,0.10225687,0,0,0,31,13.235503999999992,NOT_AVAILABLE,,,,,,,,,-0.0169999999999994,-0.0200000000000004,-0.4366789999999989,-0.5296390000000004,-0.220538499999999,-0.003000000000001,-0.4196789999999994,-0.512639000000001,-0.2035384999999996,-0.4166789999999984,-0.509639,-0.2005384999999986,-0.0929600000000014,0.2161404999999998,0.3091005000000013,0.3091005000000013,,,0.636
3049817729564977536,105.0552908241652,-9.840745161985046,0.016620664,0.01754358,0.3483772117513809,0.020144422,17.29398,-1.1427777300234296,1.1699313546267858,0.019998584,0.018617589,11.2178545,11.465318,198,1882.4008,24,2477.4648,25,1505.1016,10.803146,AAA,260798364,10.328,10.159,10.081,-0.0372136250000001,0.1689999999999987,0.028270291,0.1286958,16,1.0204493,0.4418722699999993,0.061756417,0,0,2,31,22.59223399999999,NOT_AVAILABLE,,,,,,,,,0.1689999999999987,0.2469999999999999,-0.8898545000000002,-1.1373180000000005,-0.4751460000000005,0.0780000000000011,-1.058854499999999,-1.3063179999999992,-0.6441459999999992,-1.1368545,-1.3843180000000004,-0.7221460000000004,-0.2474635000000002,0.4147084999999997,0.662172,0.662172,,,0.71
3047238515809324672,109.45311419576208,-9.82104550074925,0.017010126,0.017548624,0.2319532759132195,0.021647183,10.715170999999998,-0.8402656722166397,1.2143820993084264,0.020078352,0.019508934,11.562292,11.702428,219,2760.8782,27,1715.6248,27,980.2542,11.264301,AAA,260866104,10.905,10.847,10.83,-0.1080730000000005,0.0579999999999998,0.030478612,0.13116276,16,1.0528165,1.1373891999999994,0.02354058,0,16,0,31,19.488290000000006,NOT_AVAILABLE,,,,,,,,,0.0579999999999998,0.0749999999999992,-0.657292,-0.797428,-0.3593010000000003,0.0169999999999994,-0.7152919999999998,-0.8554279999999999,-0.4173010000000001,-0.7322919999999993,-0.8724279999999993,-0.4343009999999996,-0.140136,0.2979909999999997,0.4381269999999997,0.4381269999999997,,,0.706
507364044301931136,35.01374788891808,59.88837556062846,0.009033228,0.010944827,0.3292461592828922,0.013833322,23.800947,-1.2626286706740006,-0.5472395430765363,0.011772258,0.013324569,11.844702,12.204589,421,835.0283,44,355.80362,44,282.42627,11.275572,AAA,451015756,10.508,10.203,10.011,0.0385744999999997,0.3049999999999997,0.018818306,0.08896802,22,0.9973652,-0.0499979629999991,0.025018234,0,0,0,31,12.134195000000004,NOT_AVAILABLE,em,02 20 03.30,+59 53 18.2,,0.0481329854962176,,,,0.3049999999999997,0.4969999999999999,-1.3367020000000007,-1.6965890000000012,-0.7675720000000013,0.1920000000000001,-1.6417020000000004,-2.001589000000001,-1.072572000000001,-1.8337020000000008,-2.193589000000001,-1.2645720000000011,-0.3598870000000005,0.5691299999999995,0.929017,0.929017,,,0.674
3040846882913077888,115.77888095500288,-9.796496857777626,0.01845446,0.016011247,0.1917929135195456,0.029172331,6.5744805,-1.2491230201638794,1.3614989553669834,0.023088878,0.018869407,10.94148,11.0319195,340,406.4854,37,152.78656,37,124.71322,10.716349,AAA,260951302,10.364,10.243,10.161,0.0078800000000009,0.1210000000000004,0.03533945,0.17297949,19,1.2535636,6.1677833,0.0078383159999999,0,1,1,31,41.207775,VARIABLE,,,,,,,,,0.1210000000000004,0.2030000000000011,-0.5774799999999995,-0.6679195,-0.3523489999999984,0.0820000000000007,-0.69848,-0.7889195000000004,-0.4733489999999989,-0.7804800000000007,-0.8709195000000012,-0.5553489999999996,-0.0904395000000004,0.225131000000001,0.3155705000000015,0.3155705000000015,,,0.61
4155874234672691456,278.0781992500624,-9.794556702848723,0.015077346,0.01392773,0.5428228190767953,0.017134603,31.679918,0.0339094697026447,-0.1029504169567312,0.019294593,0.015363388,11.69853,12.4963255,200,3278.1128,22,1632.9563,22,868.34265,10.803185,AAA,260958008,9.634,9.275,9.109,-0.1223824999999996,0.359,0.027829248,0.08097921,15,0.97880644,-0.3897492600000003,0.011173696,0,0,0,31,6.537014999999997,NOT_AVAILABLE,,,,,,,,,0.359,0.5250000000000004,-2.0645299999999995,-2.862325499999999,-1.1691849999999988,0.1660000000000003,-2.4235299999999995,-3.221325499999999,-1.5281849999999988,-2.58953,-3.3873254999999998,-1.6941849999999992,-0.7977954999999994,0.8953450000000007,1.6931405000000002,1.6931405000000002,,,0.882
3048130597693877888,108.07647943900082,-9.756432808329851,0.012215693,0.0136923175,0.2943360841290109,0.0170545219999999,17.258535,-1.5516032807462563,2.395566395335547,0.014635113,0.014394054,11.5971775,11.780423,220,4312.4365,25,2067.2366,24,1700.9789,11.266686,AAA,261089912,10.902,10.853,10.789,-0.0890443750000007,0.0489999999999994,0.020812958,0.0735757649999999,16,0.7404706,-5.6404862,0.02472114,0,3,2,31,5.839922400000006,NOT_AVAILABLE,,,,,,,,,0.0489999999999994,0.1129999999999995,-0.6951775000000016,-0.8784230000000015,-0.3646860000000007,0.064,-0.744177500000001,-0.927423000000001,-0.4136860000000002,-0.8081775000000011,-0.991423000000001,-0.4776860000000003,-0.1832454999999999,0.3304915000000008,0.5137370000000008,0.5137370000000008,,,0.728
4155881999973817088,278.3346748793359,-9.66902476635262,0.012244034,0.011386773,0.3517544094713947,0.0136842765,25.705006,0.0541057518052592,-2.140893780338492,0.01652576,0.013698209,11.890604,12.586807,227,4301.716,26,1635.7117,26,1041.5195,11.061838,AAA,261392271,10.005,9.689,9.53,-0.1151509999999986,0.3160000000000007,0.023906648,0.052083295,17,0.90020806,-2.112613,0.028912975,0,1,0,31,2.768040200000001,NOT_AVAILABLE,,,,,,,,,0.3160000000000007,0.4750000000000013,-1.885603999999999,-2.5818069999999995,-1.056837999999999,0.1590000000000007,-2.201604,-2.897807,-1.372838,-2.3606040000000004,-3.056807000000001,-1.5318380000000005,-0.6962030000000006,0.8287659999999999,1.5249690000000005,1.5249690000000005,,,0.826
4155449956316444928,279.1638513263619,-9.620911424925504,0.015888775,0.015190979,0.5789439449894483,0.019106435,30.300995,0.4488580048333874,-1.2104665056522452,0.019434301,0.016855447,11.876698,12.404565,216,4601.732,22,3256.7505,23,652.3899,11.169129,AAA,261558218,10.301,10.096,9.991,-0.1614244999999994,0.205,0.0289809,0.10592562,17,1.0619977,1.3163187999999997,0.0099323485,0,0,0,31,10.602598,NOT_AVAILABLE,,,,,,,,,0.205,0.3100000000000005,-1.5756979999999992,-2.103565,-0.8681289999999997,0.1050000000000004,-1.7806979999999992,-2.308565,-1.0731289999999998,-1.885698,-2.413565,-1.1781290000000002,-0.5278670000000005,0.7075689999999994,1.235436,1.235436,,,0.632
4167178171971840896,260.7725776232833,-9.607855332653768,0.0716484,0.052486483,0.6992754127206586,0.09009518,7.761519,-1.3534194866586706,0.770499044161574,0.086108975,0.05983911,11.122628,11.442184,591,1665.5687,68,839.2548,70,849.6104,10.402758,AAA,261603292,9.567,9.33,9.201,-0.1144070000000003,0.2370000000000001,0.132713,0.6720672000000001,19,5.188482,104.906784,0.041803017,0,89,1,31,908.09973,NOT_AVAILABLE,,,,,,,,,0.2370000000000001,0.3659999999999996,-1.5556280000000005,-1.875183999999999,-0.8357580000000002,0.1289999999999995,-1.7926280000000006,-2.112183999999999,-1.0727580000000003,-1.921628,-2.2411839999999987,-1.201758,-0.3195559999999986,0.7198700000000002,1.0394259999999989,1.0394259999999989,,,0.694
