source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmdec,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_g_n_obs,phot_g_mean_flux_over_error,phot_rp_n_obs,phot_rp_mean_flux_over_error,phot_bp_n_obs,phot_bp_mean_flux_over_error,phot_rp_mean_mag,ph_qual,tmass_oid,j_m,h_m,ks_m,j_ks_0,J-H,astrometric_sigma5d_max,astrometric_excess_noise,visibility_periods_used,ruwe,astrometric_gof_al,ipd_gof_harmonic_amplitude,ipd_frac_odd_win,ipd_frac_multi_peak,matched_transits_removed,astrometric_params_solved,astrometric_excess_noise_sig,phot_variable_flag,skiff_type,ra_skiff,dec_skiff,GroupSize_skiff,Sep_skiff,numeric_sp,std_sp,skiff_type_list,j_m-h_m,j_m-ks_m,j_m-phot_g_mean_mag,j_m-phot_bp_mean_mag,j_m-phot_rp_mean_mag,h_m-ks_m,h_m-phot_g_mean_mag,h_m-phot_bp_mean_mag,h_m-phot_rp_mean_mag,ks_m-phot_g_mean_mag,ks_m-phot_bp_mean_mag,ks_m-phot_rp_mean_mag,phot_g_mean_mag-phot_bp_mean_mag,phot_g_mean_mag-phot_rp_mean_mag,phot_bp_mean_mag-phot_rp_mean_mag,bp_rp,B2,B2_cut_split,B2_cut_probability,visibility
458407670603899648,35.53570352714599,57.12454836175567,0.010299642,0.01222925,0.3790962950259794,0.01649945,22.9763,-0.9880281003661432,-1.4959889808573916,0.013432662,0.016248586,9.088153,9.223147,475,3034.1306,50,1130.7258,51,900.6064,8.80731,AAA,445229823,8.524,8.544,8.537,-0.1507882500000015,-0.0200000000000013,0.024359943,0.103172705,20,0.91281253,-2.584926100000001,0.034489233,0,0,1,31,15.989066000000008,VARIABLE,B0.5III,02 22 08.55,+57 07 28.6,5.0,0.2730885985701767,1.1,0.0707106781186547,['B0.5III' 'B2' 'B0.5IV' 'B1.5I'],-0.0200000000000013,-0.0130000000000016,-0.564153000000001,-0.6991470000000017,-0.2833100000000002,0.0069999999999996,-0.5441529999999997,-0.6791470000000004,-0.2633099999999988,-0.5511529999999993,-0.6861470000000001,-0.2703099999999985,-0.1349940000000007,0.2808430000000008,0.4158370000000015,0.4158370000000015,1.0,train,0.992,1.0
2174743569219972480,326.88006853209794,55.334878728004725,0.010702739,0.010197979,0.3350250560737954,0.012289263,27.261606,-3.920148246304911,-4.359061829450858,0.014606036,0.012707987,10.328246,10.70493,483,3527.565,54,3621.929,53,1760.1039,9.764039,AAA,441257941,9.111,8.859,8.843,-0.1033114999999993,0.2520000000000006,0.020569665,0.078699194,24,0.89675045,-2.6909273,0.016798181,0,1,2,31,7.744766999999996,NOT_AVAILABLE,B1II,21 47 31.23,+55 20 05.6,4.0,0.1212721002240204,1.1,0.0,['B1II'],0.2520000000000006,0.2680000000000007,-1.2172459999999994,-1.5939299999999983,-0.6530389999999997,0.016,-1.469246,-1.8459299999999992,-0.9050390000000004,-1.485246,-1.8619299999999992,-0.9210390000000004,-0.3766839999999991,0.5642069999999997,0.9408909999999988,0.9408909999999988,1.0,train,0.966,1.0
2031575713537688576,295.33270865897674,29.144416032993536,0.013215586,0.014689032,0.3479813113081334,0.019507246,17.838566,-3.120217642061518,-6.222263397870724,0.0168067,0.018169198,8.444109,8.530074,507,2988.2876,58,1025.5748,58,1301.1084,8.2339735,AAA,377673826,8.038,8.062,8.021,-0.0887772500000001,-0.0239999999999991,0.02547809,0.1433635,27,0.92099345,-2.4415143,0.0095577854999999,0,0,1,31,18.83762999999999,NOT_AVAILABLE,B1Ibp,19 41 19.85,+29 08 40.0,6.0,0.1022863480549011,1.1,0.0707106781186547,['B2' 'B0.5Ib' 'B0.5III:' 'B1Ibp'],-0.0239999999999991,0.0169999999999994,-0.4061089999999989,-0.4920740000000005,-0.1959734999999991,0.0409999999999985,-0.3821089999999998,-0.4680740000000015,-0.1719735,-0.4231089999999984,-0.509074,-0.2129734999999986,-0.0859650000000016,0.2101354999999998,0.2961005000000014,0.2961005000000014,1.0,train,0.982,1.0
458023906685170816,38.39081745875464,57.54356720627205,0.010537168,0.011426408,0.4236839204916014,0.018265937,23.195303,-0.249095942076269,-1.0916897895136048,0.0130691759999999,0.014372829,9.687481,9.987652,526,739.928,53,262.86392,56,303.50537,9.206292,AAA,446148022,8.768,8.709,8.58,-0.0888702499999993,0.059000000000001,0.021444866,0.1008079349999999,18,1.1749305,5.3056087,0.04170987,0,0,1,31,17.807873,VARIABLE,B1V,02 33 33.76,+57 32 36.9,3.0,0.297054343846144,1.1,,['B1V'],0.059000000000001,0.1880000000000006,-0.9194809999999992,-1.219652,-0.4382919999999988,0.1289999999999995,-0.9784810000000004,-1.278652000000001,-0.4972919999999998,-1.107481,-1.4076520000000006,-0.6262919999999994,-0.3001710000000006,0.4811890000000005,0.7813600000000012,0.7813600000000012,1.0,train,0.962,1.0
2012837350983339520,356.2069754394116,61.49706056685794,0.009571002,0.01026569,0.3559907332312272,0.012555461,28.353456,-3.106322461610974,-2.154060977181353,0.012569857,0.012433762,10.65866,10.948592,464,4638.09,54,4268.118,55,1813.6212,10.18771,AAA,454159975,9.715,9.607,9.535,-0.100915,0.1080000000000005,0.020120962,0.08823075,28,1.0306765,0.8910441999999996,0.008080265,0,0,0,31,10.888252999999992,NOT_AVAILABLE,B0V,23 44 49.69,+61 29 49.4,4.0,0.1151954918093889,1.1,0.1414213562373094,['B0V' 'B2'],0.1080000000000005,0.1799999999999997,-0.9436599999999996,-1.2335919999999998,-0.4727099999999993,0.0719999999999991,-1.05166,-1.3415920000000003,-0.5807099999999998,-1.1236599999999992,-1.4135919999999995,-0.652709999999999,-0.2899320000000003,0.4709500000000002,0.7608820000000005,0.7608820000000005,1.0,train,0.97,1.0
2200166747644901376,336.85292850554833,58.3674524020048,0.011506283,0.012352215,0.28025654419073,0.013936107,20.110104,-3.257401800396988,-2.4778485367532848,0.015279551,0.014028964,10.165254,10.437561,386,1760.8628,44,1090.5513,44,935.0734,9.716241,AAA,447900947,9.232,9.123,9.036,-0.0863135000000001,0.1089999999999999,0.022697896,0.0962508299999999,26,0.864763,-3.670236599999999,0.031078996,0,0,2,31,9.788049,NOT_AVAILABLE,OBe:,22 27 24.71,+58 22 02.9,4.0,0.0909004179633839,1.1,,['B1II-III'],0.1089999999999999,0.1959999999999997,-0.9332539999999998,-1.2055610000000012,-0.4842410000000008,0.0869999999999997,-1.0422539999999998,-1.3145610000000012,-0.5932410000000008,-1.1292539999999995,-1.401561000000001,-0.6802410000000005,-0.2723070000000014,0.449012999999999,0.7213200000000004,0.7213200000000004,1.0,train,0.974,1.0
1825504041654597760,293.18473402748515,19.97798274764382,0.007984999,0.00966348,0.3434903335640791,0.0127831519999999,26.870552,-2.7361620481796622,-5.69940259083906,0.012196026,0.014100084,10.867547,11.259155,470,4102.179,52,3268.6997,51,1871.8868,10.286389,AAA,352577652,9.614,9.469,9.407,-0.1581367499999992,0.1450000000000013,0.019549739,0.065783165,22,0.8796311,-3.7671034,0.014172522,0,0,1,31,5.81320199999999,NOT_AVAILABLE,B1III:,19 32 44.34,+19 58 40.8,4.0,0.0823278736328625,1.1,0.0,['B1III:n' 'B1III:'],0.1450000000000013,0.2070000000000007,-1.2535469999999993,-1.645154999999999,-0.672388999999999,0.0619999999999993,-1.3985470000000009,-1.7901550000000004,-0.8173890000000004,-1.460547,-1.852155,-0.8793889999999998,-0.3916079999999997,0.5811580000000003,0.972766,0.972766,1.0,train,0.972,1.0
2007440058871856768,341.66764035345244,58.29553197611418,0.011652595,0.01110037,0.3787206126769186,0.013640455,27.764515,-2.491422759852009,-2.2309980074110296,0.014797285,0.013155466,9.0701065,9.296022,399,3101.0754,47,1597.1389,47,1287.4125,8.665252,AAA,447749762,8.251,8.159,8.075,-0.0727766249999999,0.0919999999999987,0.021588864,0.09027629,28,0.9737834,-0.6725262000000001,0.028710546,0,0,1,31,10.461723000000006,NOT_AVAILABLE,OB:,22 46 40.24,+58 17 43.9,5.0,0.0520266714468007,1.1,0.1414213562373094,['B0Ib' 'B2'],0.0919999999999987,0.1760000000000001,-0.8191065000000002,-1.0450220000000012,-0.4142520000000012,0.0840000000000014,-0.9111064999999988,-1.137022,-0.5062519999999999,-0.9951065000000004,-1.2210220000000014,-0.5902520000000013,-0.225915500000001,0.404854499999999,0.63077,0.63077,1.0,test,0.966,1.0
2003899940666985984,341.08083747570726,55.745606461753326,0.009740434,0.010538313,0.3029289628288089,0.0122781809999999,24.672138000000004,-3.514768352397744,-3.15365563265594,0.012616678,0.0119665519999999,10.007581,10.202892,450,2384.0237,52,1431.0505,52,1177.0441,9.650815,AAA,442178323,9.272,9.237,9.183,-0.1171452499999996,0.0350000000000001,0.019419188,0.07356932,26,0.85946083,-4.10689,0.016874878,0,0,2,31,7.028817699999991,NOT_AVAILABLE,OB,22 44 19.41,+55 44 44.2,3.0,0.0778568608525869,1.1,,['B1II?nn'],0.0350000000000001,0.0890000000000004,-0.7355809999999998,-0.930892,-0.3788149999999994,0.0540000000000002,-0.770581,-0.9658920000000002,-0.4138149999999996,-0.8245810000000002,-1.0198920000000005,-0.4678149999999998,-0.1953110000000002,0.3567660000000003,0.5520770000000006,0.5520770000000006,1.0,train,0.968,1.0
432117454228618368,1.9714053305423684,64.83055440961111,0.010393226,0.011333136,0.2840178709421069,0.0139058,20.424417,-4.107240753735968,-0.3370114361014473,0.013795384,0.015367412,11.150009,11.373921,436,3589.7551,50,2990.1443,50,1943.6216,10.763084,AAA,459805881,10.367,10.281,10.232,-0.0945022499999987,0.0860000000000003,0.02346484,0.1079251799999999,27,0.84198093,-4.5495553,0.033164807,0,0,1,31,16.665494999999993,NOT_AVAILABLE,OB-,00 07 53.14,+64 49 50.0,3.0,0.0178399215415273,1.1,0.1414213562373095,['B2' 'B0'],0.0860000000000003,0.1350000000000015,-0.7830089999999998,-1.0069209999999984,-0.3960839999999983,0.0490000000000012,-0.8690090000000001,-1.0929209999999987,-0.4820839999999986,-0.9180090000000014,-1.141921,-0.5310839999999999,-0.2239119999999985,0.3869250000000015,0.6108370000000001,0.6108370000000001,1.0,train,0.966,1.0
4506875248640287872,285.9054562623298,14.94011441619411,0.009945949,0.011294463,0.2819074988108817,0.016022827,17.594116,-3.951320045315157,-5.432642386217363,0.011761297,0.0127368085,10.518319,10.822419,708,3512.428,81,2558.855,78,1718.692,10.034047,AAA,337965096,9.538,9.452,9.407,-0.1468297499999997,0.0860000000000003,0.021246966,0.08291822,17,0.95493245,-1.6740077000000009,0.02123807,0,0,1,31,11.017307999999986,NOT_AVAILABLE,B1Ib,19 03 37.32,+14 56 24.5,2.0,0.1758019993204715,1.1,,['B1Ib'],0.0860000000000003,0.1310000000000002,-0.9803189999999996,-1.2844189999999998,-0.496046999999999,0.0449999999999999,-1.066319,-1.370419,-0.5820469999999993,-1.111319,-1.415419,-0.6270469999999992,-0.3041,0.4842720000000007,0.7883720000000007,0.7883720000000007,1.0,train,0.954,1.0
4258447365203563008,280.731340452578,-3.8836025356742736,0.015517318,0.015443374,0.4175125471217085,0.018416671,22.670359,-0.0101903363571373,-0.8300152535079883,0.019676967,0.017217387,10.826799,11.478016,206,1353.9583,21,306.11368,21,483.10596,10.0313835,AAA,280785563,9.106,8.83,8.682,-0.1121997500000002,0.2759999999999998,0.029611073,0.0916334239999999,17,1.000514,0.0433869359999992,0.05526921,0,0,0,31,7.750034999999997,NOT_AVAILABLE,B1II,18 42 55.52,-03 53 01.0,4.0,0.0400861669747374,1.1,0.0,['B1II'],0.2759999999999998,0.4239999999999995,-1.7207989999999995,-2.3720160000000003,-0.9253835000000006,0.1479999999999997,-1.9967989999999995,-2.648016,-1.2013835000000004,-2.144798999999999,-2.796016,-1.3493835,-0.6512170000000008,0.7954154999999989,1.4466324999999998,1.4466324999999998,1.0,train,0.98,1.0
458367538432087040,34.79449945580568,57.02495367549104,0.008816916,0.011505533,0.4307076017821156,0.016038181,26.85514,-0.6218315596902397,-1.3852486915428308,0.011815781,0.013794626,9.782366,9.940861,489,1910.6289,57,755.0844,57,681.50586,9.473609,AAA,445010151,9.21,9.115,9.135,-0.0868414999999989,0.0950000000000006,0.019731326,0.09987452,22,1.0012541,0.0597856679999999,0.036217693,0,0,0,31,16.76110299999999,VARIABLE,B:,02 19 10.68,+57 01 29.8,2.0,0.0332488699731644,1.1,0.1414213562373094,['B:' 'B'],0.0950000000000006,0.075000000000001,-0.5723659999999988,-0.7308609999999991,-0.2636089999999988,-0.0199999999999995,-0.6673659999999995,-0.8258609999999997,-0.3586089999999995,-0.6473659999999999,-0.8058610000000002,-0.3386089999999999,-0.1584950000000002,0.3087569999999999,0.4672520000000002,0.4672520000000002,1.0,train,0.97,1.0
2067610042417228416,306.9159090995298,40.67729597520893,0.0098601915,0.011291757,0.5233010030767209,0.01256844,41.636112,-2.835684254432698,-5.264299838685016,0.013113389,0.013093219,10.849256,11.4745865,407,2848.3042,43,1328.5295,44,1171.539,10.067528,AAA,407249382,8.963,8.691,8.578,-0.1828140000000004,0.2719999999999984,0.01901911,0.0903259999999999,25,1.1116796,3.040436,0.009323037,0,0,1,31,11.827122000000005,NOT_AVAILABLE,B1V,20 27 39.82,+40 40 38.4,2.0,0.1360668549895636,1.1,0.0,['B1V'],0.2719999999999984,0.3849999999999998,-1.8862560000000013,-2.5115865,-1.1045280000000002,0.1130000000000013,-2.158256,-2.7835864999999984,-1.3765279999999986,-2.271256000000001,-2.8965865,-1.489528,-0.6253304999999987,0.7817280000000011,1.4070584999999998,1.4070584999999998,1.0,train,0.98,1.0
457029638935975168,33.404261094790975,56.57063022236217,0.009313221,0.013176184,0.4219819993596535,0.017769942,23.746953999999995,-0.8005861102533527,-1.3202242231399248,0.012524963,0.01651167,9.243116,9.322005,481,3216.5168,54,1686.1046,54,1088.7537,9.05244,AAA,444005136,8.912,8.967,8.918,-0.0872789999999987,-0.0549999999999997,0.023577088,0.11665831,21,0.98511827,-0.4253444000000002,0.03325389,0,0,3,31,22.249638000000004,VARIABLE,B1III,02 13 37.02,+56 34 14.3,4.0,0.0381783113936689,1.1,0.0,['B1III'],-0.0549999999999997,-0.0059999999999984,-0.3311159999999997,-0.4100049999999999,-0.1404399999999999,0.0490000000000012,-0.276116,-0.3550050000000002,-0.0854400000000001,-0.3251160000000013,-0.4040050000000015,-0.1344400000000014,-0.0788890000000002,0.1906759999999998,0.269565,0.269565,1.0,train,0.966,1.0
524512817926411264,11.214114392181726,65.26527527548495,0.009328905,0.010942774,0.3644506249212144,0.013253978,27.497452,-2.8278486734543,-0.2745374870015276,0.0115798519999999,0.014182316,8.921614,9.24282,460,3512.719,51,1134.1295,51,1108.3447,8.405711,AAA,460417933,7.878,7.773,7.728,-0.1484034999999997,0.1050000000000004,0.020585038,0.081980474,28,0.9086305,-2.621585100000001,0.02000021,0,0,2,31,8.230565000000013,NOT_AVAILABLE,B2,00 44 51.40,+65 15 55.0,6.0,0.0792548418944273,1.1,0.0999999999999999,['B0I' 'B2' 'B1Ib'],0.1050000000000004,0.1500000000000003,-1.0436139999999998,-1.36482,-0.527711,0.0449999999999999,-1.1486140000000002,-1.4698200000000003,-0.6327110000000005,-1.1936140000000002,-1.5148200000000005,-0.6777110000000004,-0.3212060000000001,0.5159029999999998,0.8371089999999999,0.8371089999999999,1.0,train,0.982,1.0
455390949988697984,33.46595809020978,53.91458447520403,0.021896414,0.025156684,0.339150488295948,0.031875577,10.639823000000003,-1.4952658867552933,-1.3219191234041374,0.028346919,0.02992965,8.893353,8.859623,526,898.90717,61,297.36935,59,347.01593,8.889958,AAA,438045943,8.993,9.055,9.06,-0.0253382499999998,-0.0619999999999993,0.047984373,0.2548162,18,1.1251833,3.8859518,0.0027032273,0,0,0,31,120.602936,VARIABLE,OB-,02 13 51.83,+53 54 52.5,7.0,0.0041429325026408,1.1,0.0866025403784438,['B2' 'B0.5IIIn' 'B0.5IV'],-0.0619999999999993,-0.0670000000000001,0.0996470000000009,0.1333770000000012,0.1030420000000003,-0.0050000000000007,0.1616470000000003,0.1953770000000005,0.1650419999999996,0.1666470000000011,0.2003770000000013,0.1700420000000004,0.0337300000000002,0.0033949999999993,-0.0303350000000008,-0.0303350000000008,1.0,train,0.974,1.0
