SNRG,RA_OBS,DEC_OBS,DESIG,HELIO,HELIO_RV,fits_name
87.62,344.211707,58.80654,LAMOST J225650.80+584823.5,True,12.10234,spec-56994-HD230130N570619V01_sp16-121.fits
649.44,100.994689,19.838678,LAMOST J064358.72+195019.2,True,17.94582,spec-57060-HD064747N214129V01_sp02-025.fits
125.26,40.93815,56.912099,LAMOST J024345.15+565443.5,True,-20.23361,spec-59111-HD023050N553254V01_sp12-120.fits
138.57,271.253811,7.113073,LAMOST J180500.91+070647.0,True,-12.56573,spec-57166-HD180717N064205V01_sp03-128.fits
84.82,113.6032,8.679568,LAMOST J073424.76+084046.4,True,24.62613,spec-55999-GAC_112N06_V1_sp12-179.fits
27.23,80.752783,34.139698,LAMOST J052300.66+340822.9,True,-4.7256,spec-56266-GAC080N32V1_sp09-083.fits
109.04,59.097306,46.912895,LAMOST J035623.35+465446.4,True,23.36037,spec-55954-GAC_056N46_V1_sp13-186.fits
181.06,96.390965,10.848656,LAMOST J062533.83+105055.1,True,23.32164,spec-58168-HD061556N101654V01_sp13-014.fits
86.62,59.841564,54.385528,LAMOST J035921.97+542307.9,True,-24.23176,spec-57280-HD040922N544943V01_sp10-212.fits
259.77,75.04757,47.551785,LAMOST J050011.41+473306.4,True,24.63686,spec-56701-GAC071N47V2_sp13-067.fits
185.62,142.862036,16.564626,LAMOST J093126.88+163352.6,True,-10.31905,spec-56678-HD092246N154635V01_sp13-189.fits
125.46,57.349398,48.244118,LAMOST J034923.85+481438.8,True,23.26813,spec-55954-GAC_056N46_V1_sp11-035.fits
330.08,93.009069,21.288215,LAMOST J061202.17+211717.5,True,29.4143,spec-57749-HIP29425K201_sp01-087.fits
110.39,41.353182,32.757301,LAMOST J024524.76+324526.2,True,6.6654,spec-56255-VB041N35V1_sp01-015.fits
65.13,91.821257,25.091357,LAMOST J060717.10+250528.8,True,12.18,spec-59230-TD061156N231225K01_sp16-065.fits
80.64,102.700186,2.711444,LAMOST J065048.04+024241.1,True,25.26303,spec-59282-HD065450N031414V02_sp03-034.fits
133.84,68.703639,43.422129,LAMOST J043448.87+432519.6,True,-7.5574,spec-58077-HD043641N411553V01_sp11-152.fits
84.76,113.60319,8.679567,LAMOST J073424.76+084046.4,True,24.69401,spec-55999-GAC_112N06_V2_sp12-179.fits
370.63,59.097306,46.912895,LAMOST J035623.35+465446.4,True,0.85343,spec-56627-GAC056N46V1_sp13-186.fits
132.76,91.390829,23.482611,LAMOST J060533.79+232857.3,True,21.85297,spec-57789-HIP29425K201_sp03-105.fits
52.51,45.631177,55.521239,LAMOST J030231.48+553116.4,True,19.04517,spec-56670-HD030004N551117V01_sp04-051.fits
133.3,72.613993,46.684784,LAMOST J045027.35+464105.2,True,22.28308,spec-57054-HD045554N450205V01_sp16-056.fits
8.58,72.105929,50.298436,LAMOST J044825.42+501754.3,True,6.50281,spec-57380-HD044940N493517V01_sp15-194.fits
438.84,319.9292,37.797103,LAMOST J211943.00+374749.5,True,13.68781,spec-57679-HD212416N373944V01_sp03-161.fits
6.59,96.634762,-0.434276,LAMOST J062632.34-002603.3,True,-22.64668,spec-57330-HD062551N004845V01_sp05-009.fits
112.21,134.0259,37.473648,LAMOST J085606.21+372825.1,True,-26.26516,spec-56616-VB136N38V2_sp10-177.fits
67.57,94.73803,23.107716,LAMOST J061857.12+230627.7,True,-11.15616,spec-58457-KII062257N223048V01_sp03-216.fits
62.59,59.989693,49.678673,LAMOST J035957.52+494043.2,True,25.0127,spec-55966-GAC_061N50_V3_sp03-245.fits
84.44,89.698479,21.733767,LAMOST J055847.63+214401.5,True,13.57498,spec-56309-GAC088N20V2_sp12-078.fits
149.73,102.937975,2.474718,LAMOST J065145.11+022828.9,True,25.16613,spec-59282-HD065450N031414V02_sp05-194.fits
301.56,55.657454,51.886781,LAMOST J034237.78+515312.4,True,-14.78943,spec-57319-HD034854N505024V01_sp15-089.fits
120.44,95.70301,17.27306,LAMOST J062248.72+171623.0,True,27.2389,spec-58545-KII063110N165618V01_sp14-197.fits
189.61,57.042537,49.626295,LAMOST J034810.20+493734.6,True,6.90486,spec-55909-B90903_1_sp05-109.fits
485.28,95.269242,22.169481,LAMOST J062104.61+221010.1,True,-25.06499,spec-58788-HIP29425K201_sp06-106.fits
723.34,96.034565,18.389575,LAMOST J062408.29+182322.4,True,-23.58313,spec-59253-TD062610N184524H01_sp04-137.fits
84.6,299.702044,23.089317,LAMOST J195848.49+230521.5,True,-17.67059,spec-57909-HD200842N220912V01_sp14-024.fits
560.86,96.034565,18.389575,LAMOST J062408.29+182322.4,True,-27.70818,spec-59232-TD062610N184524H01_sp04-137.fits
193.93,95.097317,23.263769,LAMOST J062023.35+231549.5,True,-11.9025,spec-58456-KII061029N225952V01_sp13-075.fits
109.16,87.619845,26.282102,LAMOST J055028.76+261655.5,True,28.8405,spec-58546-HD055905N273342V01_sp02-169.fits
51.51,45.115285,54.001423,LAMOST J030027.66+540005.1,True,-3.07094,spec-55880-B8004_1_sp13-068.fits
238.54,340.969273,57.251687,LAMOST J224352.62+571506.0,True,6.87916,spec-56967-HD224251N544526V01_sp11-223.fits
176.12,32.595407,29.457525,LAMOST J021022.89+292727.0,True,27.68007,spec-57400-HD021125N313135V01_sp01-038.fits
220.59,93.665965,22.499816,LAMOST J061439.83+222959.3,True,25.32668,spec-57439-KP062257N223048V01_sp10-017.fits
95.56,86.006483,31.826802,LAMOST J054401.55+314936.4,True,28.26244,spec-58908-HD055458N314205V01_sp14-032.fits
