ra,dec,B2_cut_probability
228.50313015502016,-76.87480119040123,0.228
218.47054161595665,-76.72565643981115,0.472
240.6114757734146,-76.65910479956327,0.162
219.1684291354268,-76.5387850461816,0.134
187.71466466230703,-76.4227833576566,0.092
178.63210376558328,-76.37080139674691,0.278
235.43629449419768,-76.35578626272196,0.156
271.17352014242965,-24.34870812448371,0.254
208.2277197334396,-76.15746054357608,0.108
258.9286550656505,-76.09100999507447,0.066
157.75856479332091,-76.04038123802792,0.09
196.6768104674049,-75.98171536042176,0.156
156.55986082982355,-75.98008717006738,0.394
241.53742288399584,-75.88802901100597,0.35
37.45359442732994,-75.82240784039153,0.128
241.2696717275332,-75.76306010006095,0.662
230.17448108227129,-75.74291119527881,0.104
238.46167703848403,-75.73033547042141,0.316
252.8937128134817,-75.46110036605592,0.304
195.8324876854073,-75.45046506455886,0.16
258.3484655575392,-75.42383385353659,0.056
193.7227506109209,-75.30870849041652,0.102
143.55978361219437,-75.29103574793518,0.222
158.78638216653113,-75.24645150013374,0.13
227.7704434948726,-75.21641512937506,0.24
218.72457129461569,-75.19824224350556,0.162
240.26693150148083,-54.30207572253645,0.962
207.33549646103205,-75.07834478040412,0.572
225.1437146159444,-75.04836208049232,0.146
200.5584370116895,-74.93383558729708,0.158
226.4572731112911,-74.87282981659418,0.188
220.6472855413882,-74.86364063256433,0.082
170.92676684327176,-74.83212288880273,0.188
176.55887546720624,-74.81968153163841,0.112
209.25020173821727,-74.7940785516025,0.224
156.53230526160604,-74.7386817788706,0.072
176.9957482638011,-74.71066839966039,0.23
116.12584070955462,-31.08139160122815,0.708
89.73565210032001,23.95030492331165,0.452
195.5072757830642,-74.66054234419286,0.108
209.69320852410053,-74.6505504404639,0.282
109.59884147215192,-10.689410597160045,0.438
219.2512975229198,-74.63009380426719,0.104
227.839352719021,-74.62393206061184,0.214
186.58046084791945,-74.62300647386768,0.11
281.75916788209,-74.60764037420627,0.146
107.1672186748802,-74.58543943392323,0.172
246.61568490444947,-74.54139372742378,0.378
217.4692453489082,-74.51761911972974,0.014
196.7870250296613,-74.51365515342843,0.086
243.39930437759904,-74.49113878224787,0.228
155.74647979445777,-74.46996766661766,0.14
198.6795051104613,-74.46837034672347,0.102
186.46628131683383,-74.40226074394576,0.052
153.82579198288417,-74.36951002168897,0.328
181.91283888062063,-74.36882103018566,0.028
32.89961201819309,-74.30827483498283,0.058
203.4299028135953,-74.29074009375395,0.248
147.57529831302807,-74.27090497673541,0.176
184.6665277199062,-74.24486244848227,0.17
278.5014041078072,-13.442787920118768,0.196
268.4183516304125,-24.30404734024409,0.598
206.99932227200776,-74.21482142256234,0.164
213.63086981351788,-74.20802706953957,0.036
183.56286214576247,-74.16381011656142,0.19
233.2901559984315,-74.14904674057433,0.16
135.93833714302795,-74.14019623194112,0.154
173.8789279646012,-74.1299480620429,0.222
165.503642132544,-74.07077090599502,0.07
167.06639409412975,-74.02821968073235,0.094
219.9027879980492,-73.99540539486404,0.05
177.0924172365525,-73.90814954296536,0.086
211.5004088578396,-73.89309967116384,0.066
213.7740489555323,-73.84252962222358,0.136
320.1918717005244,-73.78681483572252,0.2
213.6922329325509,-73.71957700279334,0.108
252.8874037343895,-73.686375247489,0.182
214.7272461355004,-73.6648949841506,0.112
223.6504980268276,-73.66389319764473,0.156
180.8155577775665,-73.66281299038795,0.092
287.60107395742284,-73.6575646601544,0.066
244.8496461718044,-73.64390260300513,0.298
168.83022736491102,-73.64361748992249,0.494
208.4367259452773,-73.62894107098346,0.114
143.400105786714,-73.57977159473018,0.2
143.56502875148223,-73.5492833851543,0.672
203.55315151679537,-73.54199075722889,0.06
247.396093455024,-73.53431957931626,0.28
181.77745659376225,-73.51628504042871,0.098
171.5672395954358,-73.49884497993664,0.31
224.8498856544237,-73.47655613815077,0.204
219.62994818798668,-73.4704983732095,0.05
168.7324199636223,-73.45812372531844,0.232
